시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
151.34,-0.12,3.72,3.64,0.03,0.03,-0.0,0.11,1142.9,30.36,0.0,747.62,-2.97
151.35,-0.12,3.74,3.66,0.05,0.04,0.01,0.09,1145.37,30.35,0.0,747.73,-2.99
151.36,-0.11,3.75,3.68,0.06,0.06,0.03,0.08,1146.49,30.34,0.0,747.66,-2.92
151.37,-0.12,3.74,3.68,0.07,0.07,0.05,0.08,1147.19,30.34,0.0,747.52,-2.81
151.38,-0.13,3.7,3.69,0.07,0.08,0.08,0.09,1148.13,30.33,0.0,747.41,-2.67
151.39,-0.15,3.64,3.68,0.07,0.08,0.11,0.11,1148.94,30.34,0.0,747.35,-2.54
151.4,-0.17,3.6,3.68,0.05,0.08,0.12,0.13,1148.1,30.34,0.0,747.29,-2.45
151.41,-0.17,3.59,3.67,0.03,0.08,0.12,0.13,1144.6,30.34,0.0,747.18,-2.4
151.42,-0.18,3.6,3.67,0.01,0.07,0.1,0.13,1140.16,30.34,0.0,747.05,-2.41
151.44,-0.24,3.67,3.69,-0.01,0.04,0.05,0.13,1144.6,30.32,0.0,747.2,-2.59
151.45,-0.3,3.7,3.71,-0.02,0.03,0.03,0.13,1153.94,30.31,0.0,747.51,-2.73
151.46,-0.34,3.74,3.73,-0.02,0.02,0.02,0.13,1160.32,30.3,0.0,747.73,-2.84
151.47,-0.33,3.8,3.75,-0.01,0.02,0.02,0.12,1158.62,30.29,0.0,747.71,-2.89
151.48,-0.29,3.87,3.77,0.0,0.02,0.02,0.09,1150.58,30.29,0.0,747.49,-2.89
151.49,-0.25,3.93,3.79,0.02,0.03,0.02,0.07,1143.28,30.29,0.0,747.22,-2.82
151.5,-0.22,3.98,3.81,0.04,0.04,0.02,0.06,1142.5,30.29,0.0,747.05,-2.7
151.51,-0.22,4.01,3.82,0.06,0.05,0.02,0.05,1148.22,30.29,0.0,747.03,-2.56
151.52,-0.22,3.99,3.83,0.08,0.06,0.03,0.06,1156.16,30.29,0.0,747.12,-2.45
151.53,-0.21,3.95,3.83,0.08,0.07,0.04,0.08,1162.13,30.29,0.0,747.27,-2.39
151.54,-0.17,3.9,3.83,0.08,0.08,0.05,0.1,1165.11,30.3,0.0,747.42,-2.38
151.55,-0.15,3.85,3.84,0.07,0.08,0.06,0.11,1167.31,30.3,0.0,747.51,-2.43
151.56,-0.14,3.85,3.84,0.05,0.08,0.05,0.13,1171.15,30.31,0.0,747.51,-2.53
151.57,-0.15,3.88,3.84,0.03,0.07,0.04,0.13,1176.76,30.31,0.0,747.42,-2.65
151.58,-0.15,3.92,3.85,0.01,0.06,0.02,0.13,1182.79,30.31,0.0,747.29,-2.75
151.59,-0.12,3.95,3.86,-0.0,0.05,0.01,0.13,1187.91,30.3,0.0,747.15,-2.81
151.6,-0.08,3.97,3.88,-0.01,0.03,0.01,0.13,1191.0,30.3,0.0,747.03,-2.82
151.61,-0.05,3.98,3.9,-0.0,0.02,0.01,0.12,1190.89,30.3,0.0,747.04,-2.76
151.62,-0.07,3.98,3.92,0.0,0.02,0.02,0.11,1187.31,30.29,0.0,747.21,-2.63
151.63,-0.12,3.98,3.95,0.01,0.02,0.02,0.09,1182.24,30.29,0.0,747.49,-2.46
151.64,-0.18,3.98,3.97,0.03,0.03,0.03,0.07,1179.42,30.29,0.0,747.78,-2.32
151.65,-0.21,3.99,3.99,0.04,0.03,0.02,0.07,1181.35,30.29,0.0,747.99,-2.24
151.66,-0.21,4.0,4.0,0.06,0.04,0.02,0.08,1187.24,30.29,0.0,748.08,-2.22
151.67,-0.2,4.01,4.01,0.07,0.05,0.01,0.09,1194.3,30.29,0.0,748.0,-2.27
151.68,-0.18,4.03,4.01,0.08,0.06,0.02,0.1,1200.08,30.29,0.0,747.74,-2.38
151.69,-0.16,4.05,4.01,0.08,0.07,0.04,0.1,1203.75,30.29,0.0,747.41,-2.51
151.7,-0.15,4.06,4.01,0.06,0.07,0.06,0.11,1206.21,30.29,0.0,747.15,-2.66
151.71,-0.16,4.04,4.01,0.04,0.07,0.07,0.12,1208.68,30.29,0.0,747.07,-2.81
151.72,-0.16,4.0,4.01,0.02,0.06,0.08,0.14,1211.24,30.3,0.0,747.13,-2.93
151.73,-0.14,3.98,4.02,0.01,0.05,0.07,0.15,1213.01,30.3,0.0,747.21,-2.97
151.74,-0.1,3.99,4.03,-0.0,0.04,0.05,0.15,1213.25,30.3,0.0,747.18,-2.92
151.75,-0.04,4.02,4.05,-0.01,0.03,0.02,0.15,1211.67,30.3,0.0,747.06,-2.8
151.76,-0.0,4.06,4.07,-0.0,0.02,-0.01,0.14,1207.74,30.3,0.0,746.96,-2.64
151.77,-0.03,4.1,4.09,0.01,0.02,-0.04,0.13,1201.37,30.3,0.0,746.96,-2.5
151.78,-0.09,4.11,4.12,0.02,0.02,-0.06,0.13,1194.43,30.3,0.0,747.08,-2.39
151.79,-0.16,4.12,4.14,0.04,0.03,-0.07,0.12,1190.17,30.3,0.0,747.27,-2.35
151.8,-0.2,4.11,4.16,0.05,0.04,-0.08,0.13,1190.61,30.31,0.0,747.47,-2.39
151.81,-0.2,4.1,4.17,0.07,0.05,-0.08,0.13,1194.9,30.31,0.0,747.62,-2.47
151.82,-0.18,4.1,4.17,0.08,0.06,-0.07,0.14,1200.41,30.3,0.0,747.68,-2.59
151.83,-0.15,4.1,4.17,0.09,0.07,-0.05,0.13,1204.83,30.3,0.0,747.63,-2.74
151.84,-0.14,4.1,4.17,0.08,0.07,-0.02,0.13,1207.39,30.29,0.0,747.49,-2.87
151.85,-0.14,4.11,4.16,0.07,0.07,0.01,0.13,1208.89,30.29,0.0,747.28,-2.94
